Data;Nor.;LVT;Cen.;Ale.;Alg.;Mad.;Aço.;Estr.;Casos;Casos_Total;Mortes;Mortes_Acum;Curados
02/03/2020;2;0;0;0;0;0;0;0;2;2;0;0;0
03/03/2020;1;1;0;0;0;0;0;0;2;4;0;0;0
04/03/2020;0;1;1;0;0;0;0;0;2;6;0;0;0
05/03/2020;2;1;0;0;0;0;0;0;3;9;0;0;0
06/03/2020;3;1;0;0;0;0;0;0;4;13;0;0;0
07/03/2020;7;1;0;0;0;0;0;0;8;21;0;0;0
08/03/2020;8;0;0;0;1;0;0;0;9;30;0;0;0
09/03/2020;4;4;0;0;1;0;0;0;9;39;0;0;0
10/03/2020;0;2;0;0;0;0;0;0;2;41;0;0;0
11/03/2020;9;6;2;0;1;0;0;0;18;59;0;0;0
12/03/2020;8;5;3;0;2;0;0;1;19;78;0;0;1
13/03/2020;9;24;1;0;1;0;0;0;34;112;0;0;1
14/03/2020;24;27;2;0;1;0;0;1;57;169;0;0;1
15/03/2020;26;43;2;0;3;0;1;0;76;245;0;0;2
16/03/2020;35;26;21;0;3;0;0;3;86;331;1;1;3
17/03/2020;58;38;20;0;1;0;0;1;118;448;0;1;3
18/03/2020;93;63;23;2;7;1;2;3;194;642;1;2;3
19/03/2020;92;35;12;0;4;0;0;0;143;785;2;4;3
20/03/2020;125;83;20;0;4;0;0;0;232;1020;2;6;5
